Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstandingMn,AnneeFiscale,DateRapport,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%Gearing,%PayOut,Croissance de l'EPS (en %)
CFG,CFG,CFG,USA,Financial Services,Banks - Regional,United States,1.106,16.967730265529298,492.491008,2022,2022-12-31,2.073,8.021,23.69,226.733,15.89,4.12,34.45287322998047,0.0875052764879696,0.0091429125888159,0.9364835338219188,8.362347871354482,1.62,1.2732107,25.844657773344963,67.07471506964964,39.32038834951456,-20.463320463320457
CFG,CFG,CFG,USA,Financial Services,Banks - Regional,United States,1.106,14.39583763775244,466.223008,2023,2023-12-31,1.608,8.224,24.342,221.964,13.972,3.14,30.87757873535156,0.0660586640374661,0.0072444180137319,0.9705583205078012,9.833623801067375,1.68,1.6184279,19.55252918287938,57.39873469723113,53.503184713375795,-23.78640776699029
CFG,CFG,CFG,USA,Financial Services,Banks - Regional,United States,1.106,18.57274502342749,440.700992,2024,2024-12-31,1.509,7.794,24.254,217.521,12.401,3.05,42.14364242553711,0.0622165416013853,0.0069372612299502,0.6676988234295734,13.817587680503973,1.68,1.2866691,19.361046959199385,51.12971056320607,55.08196721311476,-2.866242038216571
CHD,CHD,CHD,USA,Consumer Defensive,Household & Personal Products,United States,0.454,24.435867309570312,250.0,2021,2021-12-31,0.8275,5.1901,3.2332,7.9965,2.5629,3.38,97.74346923828124,0.2559383892119262,0.1034827737134996,0.1048827106290694,28.918186165171967,1.012,0.3427287,15.94381611144294,79.268217246072,29.940828402366865,
CHD,CHD,CHD,USA,Consumer Defensive,Household & Personal Products,United States,0.454,19.302785164276123,243.868,2022,2022-12-31,0.4139,5.3756,3.4899,8.3456,2.6735,1.7,79.15259552001953,0.118599386801914,0.0495949961656441,0.1385033287811686,46.56035030589384,1.052,0.39331,7.699605625418557,76.60677956388436,61.88235294117648,-49.70414201183432
CHD,CHD,CHD,USA,Consumer Defensive,Household & Personal Products,United States,0.454,22.756555973663332,246.382,2023,2023-12-31,0.7556,5.8679,3.8554,8.5692,2.406,3.09,92.36289978027344,0.1959848524147948,0.0881762591607151,0.105727773692316,29.890906077758395,1.092,0.3619019,12.876838391928972,62.4059760336152,35.33980582524272,81.76470588235294
CHD,CHD,CHD,USA,Consumer Defensive,Household & Personal Products,United States,0.454,25.332816004074097,244.998,2024,2024-12-31,0.5853,6.1071,4.3608,8.8831,2.2046,2.39,103.40009307861328,0.1342184920198128,0.0658891603156555,0.0870254613480573,43.26363727138631,1.136,0.3508167,9.583926904750209,50.554944046963854,47.531380753138066,-22.653721682847895
CHRW,CHRW,CHRW,USA,Industrials,Integrated Freight & Logistics,United States,0.906,12.69956686088562,129.987,2021,2021-12-31,0.844245,23.102138,2.021934,7.028112,2.226329,6.37,97.69874572753906,0.4175433026003816,0.1201240105450795,0.1753074750019265,15.337322720178816,2.08,0.2696138,3.6544020298034754,110.10888584889516,32.6530612244898,
CHRW,CHRW,CHRW,USA,Industrials,Integrated Freight & Logistics,United States,0.906,9.854409931571961,117.709,2022,2022-12-31,0.940524,24.696625,1.353422,5.954564,2.361168,7.48,83.7184066772461,0.6949229434721764,0.1579501034836471,0.2396052139494617,11.1923003579206,2.26,0.3388003,3.808309839907275,174.4591117921831,30.2139037433155,17.42543171114601
CHRW,CHRW,CHRW,USA,Industrials,Integrated Freight & Logistics,United States,0.906,9.679197534866331,116.651,2023,2023-12-31,0.325129,17.596443,1.418697,5.22528,1.952501,2.74,82.97569274902344,0.2291743762057719,0.0622223115316308,0.2017213713189255,30.28309954343921,2.44,0.2981742,1.8476972874574709,137.62635714320956,89.05109489051094,-63.36898395721925
CHRW,CHRW,CHRW,USA,Industrials,Integrated Freight & Logistics,United States,0.906,11.950689453163148,118.205,2024,2024-12-31,0.46569,17.724956,1.722051,5.297926,1.741132,3.89,101.10138702392578,0.2704275308919422,0.0879004350004133,0.1456930168609771,25.990073785070894,2.46,0.3721722,2.6273125868408362,101.10803919279974,63.23907455012853,41.97080291970803
CHTR,CHTR,CHTR,USA,Communication Services,Telecom Services,United States,1.065,116.89235323309377,179.291008,2021,2021-12-31,4.654,51.682,14.05,142.491,91.83,25.34,651.969970703125,0.3312455516014235,0.0326617119677734,0.7855945873284184,25.728885978813143,0.0,0.2517136,9.005069463256065,653.5943060498221,0.0,
CHTR,CHTR,CHTR,USA,Communication Services,Telecom Services,United States,1.065,53.17443966967773,155.672,2022,2022-12-31,5.055,54.022,9.119,144.523,97.603,31.3,341.5799865722656,0.5543370983660489,0.0349771316676238,1.8355247484752957,10.913098612532448,0.0,0.3717307,9.357298878234793,1070.325693606755,0.0,23.520126282557218
CHTR,CHTR,CHTR,USA,Communication Services,Telecom Services,United States,1.065,57.91216064453125,147.92,2023,2023-12-31,4.557,54.607,11.086,147.193,98.202,30.54,391.510009765625,0.4110589933249143,0.0309593526866087,1.695706029736492,12.819581197302718,0.0,0.2810321,8.345083963594412,885.8199530939924,0.0,-2.4281150159744413
CHTR,CHTR,CHTR,USA,Communication Services,Telecom Services,United States,1.065,48.73640811791992,142.184,2024,2024-12-31,5.083,55.085,15.587,150.02,95.763,35.53,342.7699890136719,0.3261050875729774,0.0338821490467937,1.9649170650470824,9.647339966610522,0.0,0.3388628,9.227557411273485,614.3773657535127,0.0,16.339227242960064
CI,CI,CI,USA,Healthcare,Healthcare Plans,United States,0.263,70.87893942279052,331.428,2021,2021-12-31,5.37,174.267,47.112,154.889,33.67,15.89,213.85923767089844,0.1139836984207845,0.0346699894763346,0.4750353246563067,13.458731130956478,4.0,0.4742365,3.0814784210435713,71.46799116997794,25.173064820641912,
CI,CI,CI,USA,Healthcare,Healthcare Plans,United States,0.263,93.05167828129687,305.739008,2022,2022-12-31,6.704,180.031,44.675,143.885,31.093,21.299091,304.35003662109375,0.1500615556799104,0.0465927650554262,0.3341476540165703,14.289343926512814,4.48,0.4506789,3.723803122795518,69.5982092893117,21.033761487755513,34.0408495909377
CI,CI,CI,USA,Healthcare,Healthcare Plans,United States,0.263,87.4763146673584,292.62,2023,2023-12-31,5.164,195.187,46.223,152.761,30.93,17.39,298.9416809082031,0.1117192739545248,0.0338044396148231,0.3535814250704993,17.1904359349168,4.92,0.4265954,2.645668000430356,66.91473941544253,28.292121909143187,-18.35332315355618
CI,CI,CI,USA,Healthcare,Healthcare Plans,United States,0.263,75.26221690116797,278.152992,2024,2024-12-31,3.434,244.384,41.033,155.881,31.972,12.12,270.5784912109375,0.0836887383325616,0.0220296251627844,0.4248081084561281,22.324958020704415,5.6,0.4075895,1.4051656409584918,77.91777349937855,46.2046204620462,-30.30477285796436
CINF,CINF,CINF,USA,Financial Services,Insurance - Property & Casualty,United States,0.695,16.671125697660155,161.999008,2021,2021-12-31,2.968,9.626,13.105,31.387,0.897,18.29,102.9088134765625,0.2264784433422358,0.094561442635486,0.0538056047484481,5.626507024415664,2.52,0.1565229,30.833160191148973,6.844715757344525,13.778020776380536,
CINF,CINF,CINF,USA,Financial Services,Insurance - Property & Casualty,United States,0.695,15.82976327557373,156.908,2023,2023-12-31,1.843,10.013,12.098,32.769,0.874,11.74,100.88563537597656,0.1523392296247313,0.0562421801092496,0.055212449155739,8.593324989435823,3.0,0.169632,18.40607210626186,7.224334600760455,25.55366269165247,-35.811919081465284
CINF,CINF,CINF,USA,Financial Services,Insurance - Property & Casualty,United States,0.695,21.956231279865232,156.315008,2024,2024-12-31,2.292,11.337,13.935,36.501,0.875,14.65,140.46144104003906,0.1644779332615716,0.0627928001972548,0.0398520123443229,9.587811675087991,3.24,0.1727082,20.216988621328394,6.279153211338357,22.116040955631398,24.7870528109029
CL,CL,CL,USA,Consumer Defensive,Household & Personal Products,United States,0.295,65.40062668989454,842.849024,2021,2021-12-31,2.166,17.421,0.609,15.04,7.833,2.56,77.59471130371094,3.5566502463054186,0.1440159574468085,0.1197694945209191,30.310434103012085,1.79,1.0791066,12.433270191148614,1286.2068965517242,69.921875,
CL,CL,CL,USA,Consumer Defensive,Household & Personal Products,United States,0.295,61.546846412009764,835.214016,2022,2022-12-31,1.785,17.967,0.401,15.731,9.271,2.13,73.68991088867188,4.451371571072319,0.1134702180408111,0.1506332255910829,34.596202295151116,1.86,1.1836678,9.934880614459843,2311.9700748129676,87.32394366197184,-16.79687500000001
CL,CL,CL,USA,Consumer Defensive,Household & Personal Products,United States,0.295,63.49325829582422,823.372032,2023,2023-12-31,2.3,19.457,0.609,16.393,9.064,2.78,77.11369323730469,3.7766830870279144,0.1403037882022814,0.1427553136077774,27.738738574570032,1.91,1.1594794,11.820938479724518,1488.3415435139573,68.70503597122303,30.516431924882625
CL,CL,CL,USA,Consumer Defensive,Household & Personal Products,United States,0.295,72.52095936536817,817.011008,2024,2024-12-31,2.889,20.101,0.212,16.046,8.512,3.53,88.76374816894531,13.62735849056604,0.1800448709958868,0.1173729646503386,25.145537724913687,1.98,1.0991734,14.372419282622756,4015.0943396226417,56.09065155807366,26.97841726618706
CLX,CLX,CLX,USA,Consumer Defensive,Household & Personal Products,United States,0.568,15.403660322265623,123.08,2022,2022-06-30,0.462,7.107,0.556,6.158,3.103,3.75,125.151611328125,0.8309352517985612,0.0750243585579733,0.201445626239543,33.37376302083333,4.68,0.3244444,6.500633178556353,558.0935251798561,124.8,
CMCSA,CMCSA,CMCSA,USA,Communication Services,Telecom Services,United States,0.829,203.58489701465626,4568.920064,2021,2021-12-31,14.159,116.385,96.092,275.905,100.02,3.12338,44.55864715576172,0.1473483744744619,0.0513183885757779,0.4912938114107721,14.266162668571138,0.98,4.364207,12.165657086394296,104.08774924031137,31.376265456012398,
CMCSA,CMCSA,CMCSA,USA,Communication Services,Telecom Services,United States,0.829,140.843278215,4323.40992,2022,2022-12-31,5.37,121.427,80.943,257.275,99.983,1.272476,32.57689666748047,0.0663429820985137,0.0208726071324458,0.7098883330972601,25.601187501752857,1.06,6.185928,4.422410172366936,123.52272586882127,83.30216051226115,-59.259648201627726
CMCSA,CMCSA,CMCSA,USA,Communication Services,Telecom Services,United States,0.829,165.52871524670311,4025.080064,2023,2023-12-31,15.388,121.572,82.703,264.811,97.09,3.867534,41.12432861328125,0.1860633834322818,0.0581093685685262,0.5865447566320899,10.633217086981327,1.14,4.6818448,12.6575198236436,117.3959832170538,29.47614681603316,203.93767741002586
CMCSA,CMCSA,CMCSA,USA,Communication Services,Telecom Services,United States,0.829,138.38199212319728,3826.540032,2024,2024-12-31,16.192,123.731,85.56,266.211,99.093,4.274837,36.16373825073242,0.1892473118279569,0.0608239328953349,0.716083057337262,8.459676532867201,1.22,4.9449006,13.086453677736381,115.81697054698456,28.53909985339792,10.53133598825504
CME,CME,CME,USA,Financial Services,Financial Data & Stock Exchanges,United States,0.293,70.081402657625,359.399008,2021,2021-12-31,2.6364,4.6897,27.3993,196.7803,3.4451,7.3,194.99609375,0.0962214363140664,0.013397682593227,0.0491585480506241,26.711793664383563,6.85,0.3495572,56.21681557455701,12.573678889606668,93.83561643835617,
CME,CME,CME,USA,Financial Services,Financial Data & Stock Exchanges,United States,0.293,54.34455071582031,359.728,2022,2022-12-31,2.691,5.0194,26.8787,174.1757,3.4384,7.41,151.07122802734375,0.1001164490842191,0.0154499163775429,0.0632703731047507,20.38748016563343,8.5,0.428323,53.61198549627445,12.792285341180937,114.7098515519568,1.5068493150685036
CME,CME,CME,USA,Financial Services,Financial Data & Stock Exchanges,United States,0.293,70.62111544989844,359.992992,2023,2023-12-31,3.2262,5.5789,26.7379,129.7061,3.4254,8.87,196.173583984375,0.1206601864768736,0.0248731555416437,0.048503906773182,22.11652581560034,9.65,0.3995039,57.82860420513004,12.81102854001249,108.793686583991,19.703103913630216
CME,CME,CME,USA,Financial Services,Financial Data & Stock Exchanges,United States,0.293,82.1223204503125,360.361984,2024,2024-12-31,3.5258,6.1301,26.4869,137.447,3.428,9.69,227.8884124755859,0.1331148605537077,0.0256520695249805,0.0417426100626818,23.517896024312275,10.4,0.4918732,57.5161906004796,12.942246922063362,107.32714138286894,9.244644870349505
CMG,CMG,CMG,USA,Consumer Cyclical,Restaurants,United States,0.991,0.7601846311073304,27.7211,2022,2022-12-31,0.899101,8.634652,2.368023,6.927504,3.73141,0.6456,27.42259979248047,0.3796842344858981,0.1297871498883291,4.908557536298261,42.47614589913332,0.0,3.593935,10.412706846784328,157.5749053113082,0.0,
CMI,CMI,CMI,USA,Industrials,Specialty Industrial Machinery,United States,1.104,28.284901009277345,143.032,2021,2021-12-31,2.131,24.021,8.146,23.71,4.613,14.74,197.75225830078125,0.2616007856616744,0.0898776887389287,0.163090547797461,13.41602837861474,5.6000000000000005,0.2582277,8.871404188002163,56.62902037809968,37.991858887381284,
CMI,CMI,CMI,USA,Industrials,Specialty Industrial Machinery,United States,1.104,31.651498765930175,141.022,2022,2022-12-31,2.151,28.074,8.975,30.299,8.355,15.2,224.44369506835935,0.2396657381615599,0.0709924419947853,0.2639685425889962,14.766032570286802,6.04,0.2530918,7.661893567001495,93.09192200557104,39.73684210526316,3.1207598371777445
CMI,CMI,CMI,USA,Industrials,Specialty Industrial Machinery,United States,1.104,32.74713336875195,141.744992,2023,2023-12-31,0.735,34.065,8.85,32.005,7.208,5.19,231.02850341796875,0.0830508474576271,0.0229651616934853,0.2201108695174532,44.51416250827914,6.5,0.2261177,2.157639806252752,81.44632768361582,125.24084778420037,-65.85526315789474
CMI,CMI,CMI,USA,Industrials,Specialty Industrial Machinery,United States,1.104,46.883476558776856,137.182,2024,2024-12-31,3.946,34.102,10.271,31.54,7.598,28.55,341.7611389160156,0.3841884918703144,0.1251109701965757,0.1620613605834998,11.97061782542962,7.0,0.3470395,11.571168846401973,73.97527017817154,24.518388791593697,450.0963391136802
CMS,CMS,CMS,USA,Utilities,Utilities - Regulated Electric,United States,0.471,16.635009663773072,289.696992,2021,2021-12-31,1.353,7.329,6.631,28.753,12.474,4.66,57.42210006713867,0.2040416226813452,0.0470559593781518,0.7498643073929365,12.322339070201432,1.74,0.467548,18.460908718788374,188.11642286231339,37.33905579399141,
CMS,CMS,CMS,USA,Utilities,Utilities - Regulated Electric,United States,0.471,16.80207691546631,290.252,2022,2022-12-31,0.837,8.596,7.015,31.353,14.309,2.838998,57.88789367675781,0.1193157519600855,0.0266960099512008,0.8516209080574181,20.390255180439652,1.84,0.4881684,9.73708701721731,203.97719173200284,64.81159902190842,-39.077296137339054
CMS,CMS,CMS,USA,Utilities,Utilities - Regulated Electric,United States,0.471,16.2212866179657,291.764,2023,2023-12-31,0.887,7.462,7.544,33.517,15.643,2.97894,55.597286224365234,0.117576882290562,0.0264641823552227,0.9643501387044586,18.66344613331092,1.952,0.5437074,11.886893594210669,207.35683987274655,65.5266638468717,4.929274342567336
CMS,CMS,CMS,USA,Utilities,Utilities - Regulated Electric,United States,0.471,19.322365617285158,298.784992,2024,2024-12-31,1.003,7.515,8.23,35.92,16.566,3.323462,64.6697998046875,0.1218712029161604,0.0279231625835189,0.8573484390120741,19.458564534418475,2.06,0.5695762,13.34664005322688,201.28797083839606,61.98355810898395,11.565254755047105
CNC,CNC,CNC,USA,Healthcare,Healthcare Plans,United States,0.476,48.080646112754884,583.502976,2021,2021-12-31,1.347,125.982,26.795,78.375,22.661,2.31,82.4000015258789,0.0502705728680724,0.0171866028708133,0.4713123019781647,35.67099633154931,0.0,0.9647876,1.06920036195647,84.57174846053368,0.0,
CNC,CNC,CNC,USA,Healthcare,Healthcare Plans,United States,0.476,45.1535686386582,566.259968,2022,2022-12-31,1.202,144.547,24.057,76.87,21.333,2.09,79.73999786376953,0.0499646672486178,0.0156367893846754,0.4724543517416641,38.15310902572705,0.0,0.7967892,0.8315634361142051,88.67689238059609,0.0,-9.523809523809534
CNC,CNC,CNC,USA,Healthcare,Healthcare Plans,United States,0.476,41.04266319351123,534.200992,2023,2023-12-31,2.702,153.999,25.84,84.641,18.877,4.97,76.83000183105469,0.1045665634674922,0.0319230632908401,0.4599360404805412,15.45875288351201,0.0,0.8618434,1.7545568477717388,73.05340557275541,0.0,137.79904306220095
CNC,CNC,CNC,USA,Healthcare,Healthcare Plans,United States,0.476,30.58472213979541,504.864992,2024,2024-12-31,3.305,163.071,26.41,82.445,19.429,6.33,60.58000183105469,0.125141991669822,0.0400873309479046,0.6352518068071605,9.570300447244026,0.0,1.0639672,2.026724555561688,73.56683074592956,0.0,27.364185110663986
CNP,CNP,CNP,USA,Utilities,Utilities - Regulated Electric,United States,0.558,15.835037583702636,628.865984,2021,2021-12-31,1.486,8.352,9.418,37.679,16.103,2.35,25.18030548095703,0.1577829687831811,0.0394384139706467,1.0169221206379169,10.715023608917884,0.65,1.2836539,17.792145593869733,170.98110002123596,27.659574468085108,
CNP,CNP,CNP,USA,Utilities,Utilities - Regulated Electric,United States,0.558,17.18779002368164,629.536,2022,2022-12-31,1.057,9.321,10.045,38.546,16.856,1.6,27.30231475830078,0.1052264808362369,0.0274217817672391,0.98069617890232,17.06394672393799,0.7,1.109154,11.339984980152344,167.8048780487805,43.74999999999999,-31.914893617021278
CNP,CNP,CNP,USA,Utilities,Utilities - Regulated Electric,United States,0.558,17.37783313041687,631.224,2023,2023-12-31,0.917,8.696,9.667,39.715,18.618,1.37,27.53037452697754,0.0948587979724837,0.0230895127785471,1.0713648738755832,20.09516388830477,0.77,1.0197118,10.545078196872126,192.59335884969482,56.20437956204379,-14.374999999999993
CNP,CNP,CNP,USA,Utilities,Utilities - Regulated Electric,United States,0.558,20.192762563485594,651.726976,2024,2024-12-31,1.019,8.643,10.666,43.768,20.963,1.58,30.983469009399418,0.0955372210763172,0.0232818497532443,1.038144232820685,19.60979051227811,0.81,1.3248668,11.789887770450074,196.54040877554849,51.26582278481012,15.328467153284663
COF,COF,COF,USA,Financial Services,Credit Services,United States,1.166,58.02041125621582,430.000992,2021,2021-12-31,12.39,30.435,61.029,432.381,42.266,27.04,134.93087768554688,0.2030182372314801,0.0286552831877441,0.7284677768545113,4.990047251684426,2.6,0.7665516,40.70970921636275,69.2555997968179,9.615384615384617,
COF,COF,COF,USA,Financial Services,Credit Services,United States,1.166,33.69024918535938,381.699008,2022,2022-12-31,7.36,34.25,52.582,455.249,47.832,17.98,88.263916015625,0.1399718534859838,0.0161669767533811,1.4197579761679573,4.909005340134872,2.4,0.703929,21.489051094890513,90.96649043398882,13.348164627363737,-33.50591715976331
COF,COF,COF,USA,Financial Services,Credit Services,United States,1.166,48.87386478342529,380.847008,2023,2023-12-31,4.887,36.787,58.089,478.464,49.318,11.98,128.3293914794922,0.0841295253834633,0.0102139345906902,1.0090873766284456,10.71196923868883,2.4,0.7163396,13.284584228124064,84.9007557368865,20.033388981636058,-33.37041156840934
COF,COF,COF,USA,Financial Services,Credit Services,United States,1.166,67.17414786907031,381.510016,2024,2024-12-31,4.75,39.112,60.784,490.144,44.989,11.61,176.07440185546875,0.078145564622269,0.009691029574982,0.6697368173197884,15.165753820453812,2.4,0.6433082,12.144610349764777,74.01454330086865,20.671834625322997,-3.088480801335569
COIN,COIN,COIN,USA,Financial Services,Financial Data & Stock Exchanges,United States,3.691,66.0957017211914,261.9,2021,2021-12-31,3.62412,7.839444,6.381689,21.274425,3.511299,17.47,252.3699951171875,0.567893546677063,0.1703510200628219,0.0531244681357882,14.445906990108044,0.0,1.0668694,46.22929891456588,55.02146845451102,0.0,
COIN,COIN,COIN,USA,Financial Services,Financial Data & Stock Exchanges,United States,3.691,62.16190576400757,250.35,2024,2024-12-31,2.579066,6.564028,10.276842,22.541951,4.31987,10.42,248.3000030517578,0.250959000829243,0.1144118359586532,0.0694938475084728,23.829174956982516,0.0,2.7957735,39.29090491387301,42.034994797039786,0.0,-40.354894104178584
COO,COO,COO,USA,Healthcare,Medical Instruments & Supplies,United States,1.049,3.372118348678589,49.346,2022,2022-10-31,0.3858,3.3084,7.1745,11.4923,2.7634,1.95,68.3362045288086,0.0537737821450972,0.0335703035945807,0.8194848799072774,35.044207450671074,0.015,0.3323084,11.661225970257526,38.516969823681094,0.7692307692307692,
COP,COP,COP,USA,Energy,Oil & Gas E&P,United States,0.328,82.20632802073975,1318.950016,2021,2021-12-31,8.079,45.828,45.406,90.661,19.934,6.09,62.32709884643555,0.177928027132978,0.0891121871587562,0.2424874152628599,10.234334785950008,1.95,2.2855692,17.628960460853627,43.90168700171784,32.01970443349754,
COP,COP,COP,USA,Energy,Oil & Gas E&P,United States,0.328,127.82803440999024,1246.070016,2022,2022-12-31,18.68,78.494,48.003,93.829,16.643,14.62,102.58495330810548,0.3891423452700873,0.1990855705592087,0.1301983565406313,7.016754672237036,4.99,1.9624812,23.797997299156624,34.670749744807615,34.13132694938441,140.06568144499178
COP,COP,COP,USA,Energy,Oil & Gas E&P,United States,0.328,131.28216280612597,1187.410048,2023,2023-12-31,10.957,56.141,49.279,95.924,18.937,9.08,110.56177520751952,0.222346232675176,0.1142258454609899,0.1442465571500803,12.176406961180565,3.91,1.4478554,19.51693058549011,38.42813368777775,43.06167400881058,-37.893296853625166
COP,COP,COP,USA,Energy,Oil & Gas E&P,United States,0.328,123.99302985658593,1293.560064,2024,2024-12-31,9.245,54.745,64.796,122.78,24.324,7.82,95.85409545898438,0.1426785604049632,0.0752972796872454,0.1961723173321425,12.257556964064497,3.12,1.5406917,16.887386975979542,37.53935428112846,39.89769820971867,-13.876651982378851
COR,COR,COR,USA,Healthcare,Medical Distribution,United States,0.633,5.799832287478638,44.1954,2022,2022-09-30,1.69882,238.587006,-0.211559,56.560616,5.702833,8.15,131.23158264160156,-8.03000581398097,0.0300353871676362,0.9832755013126756,16.10203467995111,1.865,0.3292711,0.7120337475545504,-2695.622970424326,22.883435582822084,
COR,COR,COR,USA,Healthcare,Medical Distribution,United States,0.633,35.28758616162109,200.854,2023,2023-09-30,1.745293,262.173411,0.522003,62.558746,4.787457,8.62,175.687744140625,3.343453964823957,0.0278984652281872,0.1356697218696941,20.381408833019144,1.965,0.3540131,0.6657017556978728,917.1320854477848,22.795823665893273,5.766871165644161
COR,COR,COR,USA,Healthcare,Medical Distribution,United States,0.633,43.680724952636716,196.008,2024,2024-09-30,1.50912,293.958599,0.645938,67.101667,4.388076,7.6,222.85174560546875,2.336323300378674,0.0224900522963162,0.1004579480939938,29.32259810598273,2.08,0.3447327,0.5133784162578622,679.3339298818153,27.368421052631582,-11.832946635730856
COST,COST,COST,USA,Consumer Defensive,Discount Stores,United States,0.982,221.56788503091798,442.963008,2022,2022-08-31,5.844,226.954,20.642,64.166,9.039,13.17,500.1950073242187,0.2831121015405484,0.0910762709222953,0.0407956234214118,37.97987906789816,3.49,0.6239731,2.5749711395260713,43.78936149597907,26.499620349278665,
COST,COST,COST,USA,Consumer Defensive,Discount Stores,United States,0.982,234.95872491357426,443.148,2023,2023-08-31,6.292,242.29,25.058,68.994,8.884,14.18,530.2037353515625,0.2510974539069359,0.0911963359132678,0.0378108963745348,37.390954538192,18.96,0.4661809,2.59688802674481,35.4537473062495,133.70944992947815,7.6689445709946735
CPAY,CPAY,CPAY,USA,Technology,Software - Infrastructure,United States,0.847,23.59159755606079,69.711,2024,2024-12-31,1.003746,3.974589,3.122342,17.957031,7.99608,14.27,338.4200134277344,0.3214721513530548,0.0558971023661985,0.3389376230668096,23.715487976715796,0.0,0.1179731,25.254082874984057,256.0923819363798,0.0,
CPB,CPB,CPB,USA,Consumer Defensive,Packaged Foods,United States,-0.057,13.285702509887695,300.576,2022,2022-07-31,0.757,8.562,3.331,11.892,5.048,2.51,44.200809478759766,0.2272590813569498,0.0636562394887319,0.3799573260234525,17.609884254485962,1.48,0.6355961,8.841392198084561,151.5460822575803,58.964143426294825,
CPB,CPB,CPB,USA,Consumer Defensive,Packaged Foods,United States,-0.057,12.535902091918944,298.092,2023,2023-07-31,0.858,9.357,3.661,12.058,4.967,2.87,42.053802490234375,0.2343621961212783,0.0711560789517332,0.3962219841523723,14.6528928537402,1.48,0.6602162,9.169605642834243,135.67331330237639,51.56794425087108,14.342629482071722
CPB,CPB,CPB,USA,Consumer Defensive,Packaged Foods,United States,-0.057,13.286399401851563,298.553984,2024,2024-07-31,0.567,9.636,3.794,15.235,7.542,1.9,44.50250244140625,0.1494464944649446,0.0372169346898588,0.5676481469425768,23.42236970600329,1.48,0.6463708,5.884184308841843,198.78755930416446,77.89473684210526,-33.797909407665514
CPRT,CPRT,CPRT,USA,Industrials,Specialty Business Services,United States,1.119,7.656635473546021,237.672992,2022,2022-07-31,1.09013,3.500921,4.625599,5.308864,0.119473,1.1475,32.21500015258789,0.2356732609117219,0.2053414817181227,0.0156038511187823,28.074074207048273,0.0,1.1702252,31.138377586926413,2.582865484016232,0.0,
CPRT,CPRT,CPRT,USA,Industrials,Specialty Business Services,United States,1.119,21.100460654296874,477.44,2023,2023-07-31,1.237741,3.869518,5.98744,6.737879,0.120453,1.3,44.19499969482422,0.2067229066178533,0.1836989058426249,0.0057085483569985,33.996153611403244,0.0,1.0268363,31.986955481276997,2.0117612869607044,0.0,13.28976034858389
CPRT,CPRT,CPRT,USA,Industrials,Specialty Business Services,United States,1.119,50.35705526474023,962.297984,2024,2024-07-31,1.36302,4.236823,7.524011,8.427764,0.118733,1.42,52.33000183105469,0.181156034992506,0.1617297304480761,0.0023578225409684,36.85211396553147,0.0,1.1050904,32.17080345343668,1.5780545775384964,0.0,9.23076923076922
CPT,CPT,CPT,USA,Real Estate,REIT - Residential,United States,0.825,10.509571725585937,106.528,2022,2022-12-31,0.653613,1.422756,4.98662,9.327935,3.6809,6.07,98.65548706054688,0.13107335229073,0.0700704925581063,0.350242626066171,16.25296327191876,3.76,0.2428586,45.939922235436015,73.81553035924132,61.94398682042833,
CPT,CPT,CPT,USA,Real Estate,REIT - Residential,United States,0.825,9.942481600135803,106.771,2023,2023-12-31,0.403309,1.542027,4.980757,9.383737,3.715436,3.71,93.11968231201172,0.0809734343594758,0.0429795719978085,0.3736930224692849,25.099644828035505,4.0,0.212891,26.154470706414344,74.59580943218069,107.81671159029649,-38.87973640856672
CRL,CRL,CRL,USA,Healthcare,Diagnostics & Research,United States,1.635,19.01397657039795,50.4644,2021,2021-12-31,0.390982,3.54016,2.53482,7.024292,2.916536,7.77,376.7799987792969,0.1542444828429632,0.0556614104311153,0.153389060368394,48.49163433452984,0.0,0.1020858,11.044190093103136,115.05889964573421,0.0,
CRL,CRL,CRL,USA,Healthcare,Diagnostics & Research,United States,1.635,11.111907769461059,50.8787,2022,2022-12-31,0.486226,3.97606,2.976293,7.60277,3.097276,9.57,218.3999938964844,0.1633663083574097,0.0639537957875879,0.2787348549195366,22.821315976644133,0.0,0.1423209,12.228839605036141,104.06488877271156,0.0,23.166023166023187
CRL,CRL,CRL,USA,Healthcare,Diagnostics & Research,United States,1.635,12.0162754,51.2968,2023,2023-12-31,0.474624,4.129409,3.596882,8.195001,3.066381,9.27,234.25,0.1319542870741937,0.0579162833537177,0.2551856459614765,25.26968716289105,0.0,0.1297065,11.493751284990177,85.25108691361018,0.0,-3.1347962382445194
CSCO,CSCO,CSCO,USA,Technology,Communication Equipment,United States,0.864,170.1808756604004,4140.96,2022,2022-07-31,11.812,51.557,39.773,94.002,9.515,2.83,41.096961975097656,0.2969853921001684,0.1256569009170017,0.0559111002518719,14.521894690847228,1.5099999999999998,5.3427262,22.91056500572182,23.923264526186106,53.356890459363946,
