Ticker,YahooTicker,Nom,Zone,AnneeFiscale,DateRapport,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,Dividendes_Annuels,Annual_Volume_Traded
AIG,AIG,AIG,USA,2024,2024-12-31,Financial Services,Insurance - Diversified,United States,0.626,44692242494.79932,623769024.0,30.456202860600563,-0.0330189788575057,-0.00870309071298397,0.1996319607600407,2.352516,71.6487045288086,-1404000000.0,27270000000.0,42521000000.0,161322000000.0,8922000000.0,1.56,1036576900.0
AIG,AIG,AIG,USA,2023,2023-12-31,Financial Services,Insurance - Diversified,United States,0.626,46568365887.145996,702040000.0,13.21372985839844,0.08032898943793963,0.006754977693554308,0.22775117395578431,5.02,66.33292388916016,3643000000.0,27959000000.0,45351000000.0,539306000000.0,10606000000.0,1.4,985047000.0
AIG,AIG,AIG,USA,2022,2022-12-31,Financial Services,Insurance - Diversified,United States,0.626,43962231047.381836,742979968.0,4.516804818888657,0.24962167439589944,0.019583400353868425,0.6182352294792973,13.1,59.170143127441406,10227000000.0,29975000000.0,40970000000.0,522228000000.0,27179000000.0,1.28,1237465100.0
AIG,AIG,AIG,USA,2021,2021-12-31,Financial Services,Insurance - Diversified,United States,0.626,43397233988.12891,830297984.0,4.319591679848916,0.15718054460549458,0.017391027189521433,0.6950442972529295,12.1,52.267059326171875,10367000000.0,51985000000.0,65956000000.0,596112000000.0,30163000000.0,1.28,1102674000.0
AIZ,AIZ,AIZ,USA,2024,2024-12-31,Financial Services,Insurance - Property & Casualty,United States,0.573,10770043314.303589,51287400.0,14.432573351253758,0.148863258072728,0.02170722374830814,0.19341612092065177,14.55,209.9939422607422,760200000.0,11877500000.0,5106700000.0,35020600000.0,2083100000.0,2.96,88331800.0
AIZ,AIZ,AIZ,USA,2023,2023-12-31,Financial Services,Insurance - Property & Casualty,United States,0.573,8661073017.727661,52590600.0,13.70121579797018,0.13358977024638735,0.01910201217771858,0.24020118474255958,12.02,164.68861389160156,642500000.0,11131600000.0,4809500000.0,33635200000.0,2080400000.0,2.8199999999999994,98894500.0
AIZ,AIZ,AIZ,USA,2022,2022-12-31,Financial Services,Insurance - Property & Casualty,United States,0.573,6389473579.786682,52831400.0,23.760478201455825,0.06541017333932414,0.008352130155538042,0.3333451454808439,5.09,120.94083404541016,276600000.0,10193000000.0,4228700000.0,33117300000.0,2129900000.0,2.74,123712100.0
AIZ,AIZ,AIZ,USA,2021,2021-12-31,Financial Services,Insurance - Property & Casualty,United States,0.573,8298732219.393921,57047800.0,14.137007080315387,0.24922677110594607,0.040146695518357575,0.2654019845167211,10.29,145.4698028564453,1361800000.0,10187600000.0,5464100000.0,33920600000.0,2202500000.0,2.66,96294700.0
AJG,AJG,AJG,USA,2024,2024-12-31,Financial Services,Insurance Brokers,United States,0.688,70291164897.78906,249803008.0,42.41899194341458,0.07257796412533803,0.02276391638342111,0.19184772395803848,6.6335,281.3863830566406,1462700000.0,11554900000.0,20153500000.0,64255200000.0,13485200000.0,2.4,257442700.0
AJG,AJG,AJG,USA,2023,2023-12-31,Financial Services,Insurance Brokers,United States,0.688,47734261657.549805,215911008.0,49.013163256523484,0.08997429305912596,0.018783008303658956,0.17423962812431026,4.510687,221.08303833007812,969500000.0,10071900000.0,10775300000.0,51615800000.0,8317200000.0,2.2,214327500.0
AJG,AJG,AJG,USA,2022,2022-12-31,Financial Services,Insurance Brokers,United States,0.688,38396445719.60449,210840000.0,34.37780304545426,0.12185572422240692,0.02904709268374072,0.16707536022597458,5.297365,182.1117706298828,1114200000.0,8550600000.0,9143600000.0,38358400000.0,6415100000.0,2.04,232628900.0
AJG,AJG,AJG,USA,2021,2021-12-31,Financial Services,Insurance Brokers,United States,0.688,33801546099.121094,207278000.0,36.448935774652405,0.10657702975882657,0.027194481931324038,0.19504729105191518,4.474026,163.073486328125,906800000.0,8209400000.0,8508400000.0,33345000000.0,6592900000.0,1.92,250127800.0
AKAM,AKAM,AKAM,USA,2024,2024-12-31,Technology,Software - Infrastructure,United States,0.682,14369213544.428223,150227008.0,28.637725007748177,0.10350165024822906,0.04869596582434683,0.322537137169703,3.34,95.6500015258789,504918000.0,3991168000.0,4878357000.0,10368785000.0,4634605000.0,,418231500.0
