Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstanding,AnneeFiscale,DateRapport,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%Gearing,%PayOut,Croissance de l'EPS (en %)
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,41.6569070307876,621788992.0,2022,2022-12-31,9.62575386310446,0.219364448857994,0.0335362613672592,0.1786498453785779,6.96,66.99524688720703,4.418,19.151,20.14,131.738,7.442,1.6,0.7008041,23.06929142081354,36.95134061569017,22.98850574712644,8.411214953271017
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,46.61613140335547,584380032.0,2023,2023-12-31,10.213858278399089,0.2119172162838299,0.0367649379754426,0.1579710666310232,7.81,79.77023315429688,4.659,18.841,21.985,126.724,7.364,1.68,0.6034875,24.727986837216704,33.49556515806232,21.51088348271447,12.212643678160905
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,56.22864182244873,555528000.0,2024,2024-12-31,10.456257812247788,0.2085600429151659,0.0462973989078475,0.1333484102937463,9.68,101.2165756225586,5.443,19.128,26.098,117.566,7.498,2.0,0.5537809,28.455667084901716,28.730170894321404,20.66115702479339,23.943661971831
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,43.3972403227998,830297984.0,2021,2021-12-31,4.319592310377389,0.1571805446054945,0.0173910271895214,0.695044195797702,12.1,52.267066955566406,10.367,51.985,65.956,596.112,30.163,1.28,1.102674,19.942291045493896,45.73200315361756,10.578512396694215,
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,43.96223104738184,742979968.0,2022,2022-12-31,4.516804818888657,0.2496216743958994,0.0195834003538684,0.6182352294792973,13.1,59.170143127441406,10.227,29.975,40.97,522.228,27.179,1.28,1.2374651,34.11843202668891,66.33878447644618,9.770992366412214,8.264462809917351
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,46.56837124328613,702040000.0,2023,2023-12-31,13.213731378198146,0.0803289894379396,0.0067549776935543,0.227751147760597,5.02,66.33293151855469,3.643,27.959,45.351,539.306,10.606,1.4,0.985047,13.029793626381487,23.386474388657362,27.888446215139446,-61.679389312977094
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,44.692242494799316,623769024.0,2024,2024-12-31,30.456202860600563,-0.0330189788575057,-0.0087030907129839,0.1996319607600407,2.352516,71.6487045288086,-1.404,27.27,42.521,161.322,8.922,1.56,1.0365769,-5.148514851485149,20.982573316714095,66.31198257525135,-53.13713147410358
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,8.298733089874268,57047800.0,2021,2021-12-31,14.137008563190902,0.249226771105946,0.0401466955183575,0.265401956677868,10.29,145.46981811523438,1.3618,10.1876,5.4641,33.9206,2.2025,2.66,0.0962947,13.36723075110919,40.30855950659761,25.850340136054424,
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,6.389472773643494,52831400.0,2022,2022-12-31,23.76047520365837,0.0654101733393241,0.008352130155538,0.3333451875381353,5.09,120.9408187866211,0.2766,10.193,4.2287,33.1173,2.1299,2.74,0.1237121,2.7136269989208284,50.36772530564949,53.831041257367396,-50.534499514091344
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,8.661073820196533,52590600.0,2023,2023-12-31,13.701217067420185,0.1335897702463873,0.0191020121777185,0.2402011624873545,12.02,164.68862915039062,0.6425,11.1316,4.8095,33.6352,2.0804,2.8199999999999994,0.0988945,5.771856696252111,43.256055723048135,23.460898502495837,136.1493123772102
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,10.770042531719971,51287400.0,2024,2024-12-31,14.432572302539732,0.148863258072728,0.0217072237483081,0.1934161349748476,14.55,209.99392700195312,0.7602,11.8775,5.1067,35.0206,2.0831,2.96,0.0883318,6.400336771206063,40.79150919380422,20.343642611683848,21.04825291181365
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,33.8015460991211,207278000.0,2021,2021-12-31,36.448935774652405,0.1065770297588265,0.027194481931324,0.1950472910519151,4.474026,163.073486328125,0.9068,8.2094,8.5084,33.345,6.5929,1.92,0.2501278,11.045874241722903,77.48695406892013,42.91436840107769,
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,38.39644571960449,210840000.0,2022,2022-12-31,34.37780304545426,0.1218557242224069,0.0290470926837407,0.1670753602259745,5.297365,182.1117706298828,1.1142,8.5506,9.1436,38.3584,6.4151,2.04,0.2326289,13.030664514770896,70.15945579421671,38.509711903937145,18.40264227342443
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,47.7342616575498,215911008.0,2023,2023-12-31,49.01316325652349,0.0899742930591259,0.0187830083036589,0.1742396281243102,4.510687,221.08303833007807,0.9695,10.0719,10.7753,51.6158,8.3172,2.2,0.2143275,9.625790565831672,77.18764210741233,48.77305829466776,-14.850364284885032
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,70.29118014455469,249803008.0,2024,2024-12-31,42.41900114446324,0.072577964125338,0.0227639163834211,0.1918476823446059,6.6335,281.3864440917969,1.4627,11.5549,20.1535,64.2552,13.4852,2.4,0.2574427,12.658698906957222,66.91244696950902,36.17999547750056,47.06185554439932
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,19.01665934875488,162480000.0,2021,2021-12-31,29.18703264726368,0.143849886556642,0.0800673525032889,0.150338550403028,4.01,117.04000091552734,0.651642,3.461223,4.530014,8.138673,2.858937,0.0,0.3778562,18.826929094138116,63.11099700795626,0.0,
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,13.3608529319458,157242000.0,2022,2022-12-31,25.826748091399125,0.1201031056695504,0.0630671773008647,0.237605863650328,3.29,84.97000122070312,0.523672,3.616654,4.360187,8.3034,3.174617,0.0,0.4057326,14.479460849724635,72.80919373412196,0.0,-17.955112219451365
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,17.62924374572754,150832000.0,2023,2023-12-31,32.557102299002224,0.1191234578777526,0.055315853870041,0.2572985583173015,3.59,116.87999725341795,0.547629,3.81192,4.597155,9.900037,4.535979,0.0,0.3898323,14.366224894541332,98.66926392518852,0.0,9.118541033434635
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,14.369213544428225,150227008.0,2024,2024-12-31,28.637725007748177,0.103501650248229,0.0486959658243468,0.322537137169703,3.34,95.6500015258789,0.504918,3.991168,4.878357,10.368785,4.634605,0.0,0.4182315,12.650883149995188,95.0033997101893,0.0,-6.963788300835649
ALB,ALB,ALB,USA,Basic Materials,Specialty Chemicals,United States,1.431,24.10565984033203,117153000.0,2022,2022-12-31,8.957867088865912,0.336958748041215,0.174024660916602,0.1375763626453927,22.97,205.76220703125,2.689816,7.320104,7.982627,15.456522,3.316369,1.58,0.3293257,36.74559814997164,41.54483229643574,6.878537222464084,
ALB,ALB,ALB,USA,Basic Materials,Specialty Chemicals,United States,1.431,16.67963673739624,117353000.0,2023,2023-12-31,10.59896880170465,0.1671744484274631,0.0861204077446168,0.256626931832581,13.41,142.13217163085938,1.573476,9.617203,9.41218,18.270652,4.280444,1.6,0.5624965,16.361056327915716,45.47771079601113,11.931394481730052,-41.61950370047888
ALGN,ALGN,ALGN,USA,Healthcare,Medical Instruments & Supplies,United States,1.859,16.58170017664795,78112400.0,2022,2022-12-31,45.94805168383049,0.1003990716835149,0.0607895463762538,0.0076534974488758,4.62,212.27999877929688,0.361573,3.734635,3.601358,5.947947,0.126908,0.0,0.2480985,9.681615472462504,3.523892931499729,0.0,
ALGN,ALGN,ALGN,USA,Healthcare,Medical Instruments & Supplies,United States,1.859,20.596342876098145,76589104.0,2023,2023-12-31,46.20618787418116,0.1225876183621545,0.0731528595992325,0.0061476447911993,5.82,268.9200134277344,0.445053,3.86226,3.630489,6.083877,0.126619,0.0,0.2322698,11.523123766913672,3.487656896908378,0.0,25.974025974025984
ALGN,ALGN,ALGN,USA,Healthcare,Medical Instruments & Supplies,United States,1.859,15.565918304958252,74653104.0,2024,2024-12-31,37.0355230029904,0.1093882764340982,0.0678019502461944,0.0076627024286775,5.63,208.50999450683597,0.421362,3.999012,3.851985,6.2146,0.119277,0.0,0.1947361,10.536652553180637,3.096507385153369,0.0,-3.264604810996574
ALL,ALL,ALL,USA,Financial Services,Insurance - Property & Casualty,United States,0.249,30.61604188406372,286676000.0,2021,2021-12-31,21.189815279037237,0.0641010365781008,0.0162308930008045,0.2605170201361552,5.04,106.79666900634766,1.614,48.68,25.179,99.44,7.976,3.24,0.4658553,3.3155299917830736,31.677191310218834,64.28571428571429,
ALL,ALL,ALL,USA,Financial Services,Insurance - Property & Casualty,United States,0.249,50.06860170763672,264803008.0,2024,2024-12-31,10.98017853173091,0.2176569349874079,0.0418126271087737,0.1614784460570792,17.22,189.07867431640625,4.667,63.515,21.442,111.617,8.085,3.68,0.3860642,7.347870581752342,37.706370674377396,21.37049941927991,241.66666666666666
ALLE,ALLE,ALLE,USA,Industrials,Security & Protection Services,Ireland,1.043,11.252755319404539,89695904.0,2021,2021-12-31,23.36210538555124,0.6362798050322751,0.1583087512291052,0.1281552792242097,5.37,125.45450592041016,0.483,2.8674,0.7591,3.051,1.4421,1.44,0.1739522,16.84452814396317,189.9749703596364,26.81564245810056,
ALLE,ALLE,ALLE,USA,Industrials,Security & Protection Services,Ireland,1.043,9.104470929711914,87844800.0,2022,2022-12-31,19.931285564716045,0.486302824378849,0.1147524554018841,0.2300518081907121,5.2,103.64268493652344,0.458,3.2719,0.9418,3.9912,2.0945,1.64,0.1840218,13.997982823435926,222.3932894457422,31.538461538461537,-3.165735567970207
ALLE,ALLE,ALLE,USA,Industrials,Security & Protection Services,Ireland,1.043,10.667350756054688,87787600.0,2023,2023-12-31,19.758241234756092,0.4099218690738072,0.1253392090919633,0.188894135580599,6.15,121.51318359375,0.5404,3.6508,1.3183,4.3115,2.015,1.8,0.1960576,14.802235126547606,152.84836531897142,29.268292682926827,18.26923076923077
ALLE,ALLE,ALLE,USA,Industrials,Security & Protection Services,Ireland,1.043,11.27195850154541,86929296.0,2024,2024-12-31,18.929652750057027,0.398147531152129,0.1331387316725344,0.1773870973465582,6.85,129.66812133789062,0.5975,3.7722,1.5007,4.4878,1.9995,1.92,0.1830574,15.839563119664918,133.2378223495702,28.029197080291972,11.382113821138207
AMAT,AMAT,AMAT,USA,Technology,Semiconductor Equipment & Materials,United States,1.666,73.79779187266992,860793024.0,2022,2022-10-31,11.44623902833987,0.5350992291290799,0.2441442789792711,0.0789861031351358,7.49,85.73233032226562,6.525,25.785,12.194,26.726,5.829,1.02,2.0092684,25.30541012216405,47.802197802197796,13.618157543391188,
