Ticker,YahooTicker,Nom,Zone,AnneeFiscale,DateRapport,Sector,Industry,Country,Beta,MarketCapitalizationBN,SharesOutstandingMn,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncomeBN,TotalRevenueBN,TotalEquityBN,TotalAssetsBN,TotalDebtBN,Dividendes_Annuels,Annual_Volume_Traded_BN,%MargeNette,%PayOut,Croissance de l'EPS (en %)
ASML,ASML.AS,ASML Holding NV,Eurostoxx,2023,2023-12-31,Technology,Semiconductor Equipment & Materials,Netherlands,1.355,258.234760708,395.689984,31.66515751986293,0.5827212988017008,0.1961834449102171,0.0179356179133342,20.61,652.618896484375,7.839,27.5585,13.4524,39.9575,4.6316,5.96,0.155181095,28.444944391022737,28.91800097040272,28.171641791044788
ASML,ASML.AS,ASML Holding NV,Eurostoxx,2024,2024-12-31,Technology,Semiconductor Equipment & Materials,Netherlands,1.355,269.4048683486328,400.808,34.91711267248377,0.4097895739521995,0.1558275845036798,0.0136497162153775,19.25,672.1544189453125,7.5716,28.2629,18.4768,48.5896,3.6773,6.24,0.15685221,26.789890634011375,32.41558441558441,-6.5987384764677355
ASRNL,ASRNL.AS,ASR Nederland NV,Eurostoxx,2021,2021-12-31,Financial Services,Insurance - Diversified,Netherlands,0.532,4.270792605400085,135.7,4.797608387179492,0.1313074993030387,0.0127242273611411,1.619371540368234,6.56,31.47231101989746,0.942,9.734,7.174,74.032,6.916,2.1,0.119468259,9.67741935483871,32.01219512195122,
ASRNL,ASRNL.AS,ASR Nederland NV,Eurostoxx,2023,2023-12-31,Financial Services,Insurance - Diversified,Netherlands,0.532,8.140582636107544,211.064992,6.649841440135035,0.116142153714408,0.0071964873182638,1.5847760015084953,5.8,38.5690803527832,1.085,15.38,9.342,150.768,12.901,2.8,0.159016905,7.054616384915474,48.275862068965516,-11.585365853658535
ASRNL,ASRNL.AS,ASR Nederland NV,Eurostoxx,2024,2024-12-31,Financial Services,Insurance - Diversified,Netherlands,0.532,9.159807147445681,211.42,10.340135706353015,0.0965665236051502,0.0068184277932104,1.16727348380709,4.19,43.32516860961914,0.945,17.967,9.786,138.595,10.692,2.97,0.107180596,5.259642678243447,70.88305489260142,-27.758620689655167
ASSA B,ASSA-B.ST,Assa Abloy AB - Class B Shares,Eurostoxx,2021,2021-12-31,Industrials,Security & Protection Services,Sweden,0.828,289.0841982444883,1110.780032,26.529391071968973,0.1566497082578828,0.0838622812079246,0.0994589125749566,9.81,260.2533264160156,10.9,95.007,69.582,129.975,28.752,3.9,0.421295,11.472838843453639,39.75535168195719,
ASSA B,ASSA-B.ST,Assa Abloy AB - Class B Shares,Eurostoxx,2022,2022-12-31,Industrials,Security & Protection Services,Sweden,0.828,235.79021722397462,1102.489984,17.867219776736764,0.1545213569883972,0.0859902694029657,0.1430720934785665,11.97,213.87062072753903,13.291,120.793,86.014,154.564,33.735,4.2,0.402017451,11.003121041782222,35.08771929824561,22.018348623853214
ASSA B,ASSA-B.ST,Assa Abloy AB - Class B Shares,Eurostoxx,2023,2023-12-31,Industrials,Security & Protection Services,Sweden,0.828,307.8969519378594,1106.569984,22.67680894871893,0.1487847733796068,0.0694317828786204,0.2117396732565174,12.27,278.24444580078125,13.633,140.716,91.629,196.351,65.194,4.8,0.400036069,9.688308365786405,39.119804400978,2.5062656641603898
ASSA B,ASSA-B.ST,Assa Abloy AB - Class B Shares,Eurostoxx,2024,2024-12-31,Industrials,Security & Protection Services,Sweden,0.828,357.3296108678906,1110.780032,22.84747903997248,0.1460619588870936,0.0699402965049976,0.2056952398136808,14.08,321.6925048828125,15.639,150.162,107.071,223.605,73.501,5.4,0.357249367,10.41475206776681,38.35227272727273,14.751426242868781
AT1,AT1.DE,Aroundtown S.A,Eurostoxx,2021,2021-12-31,Real Estate,Real Estate Services,Luxembourg,1.251,5.8210471252441405,1148.4,9.216058904474432,0.0489552590420972,0.0189954574424054,2.703620098134824,0.55,5.0688323974609375,0.7481,1.0857,15.2813,39.3831,15.7379,0.22,0.661396448,68.90485401123698,40.0,
ATCO A,ATCO-A.ST,Atlas Copco AB - Class A Shares,Eurostoxx,2021,2021-12-31,Industrials,Specialty Industrial Machinery,Sweden,0.937,171.9368544840918,1159.299968,39.868529124926496,0.2680644064288143,0.1326426841670142,0.1445356207926864,3.72,148.31092834472656,18.13,110.912,67.633,136.683,24.851,1.825,0.973152744,16.346292556260817,49.05913978494623,
ATCO A,ATCO-A.ST,Atlas Copco AB - Class A Shares,Eurostoxx,2022,2022-12-31,Industrials,Specialty Industrial Machinery,Sweden,0.937,552.7283000023829,4658.209792,24.61759480203336,0.2935505651695508,0.1362557385041294,0.0656760292531493,4.82,118.65680694580078,23.477,141.325,79.976,172.301,36.301,1.9,1.193766198,16.61206439058907,39.419087136929456,29.569892473118276
ATCO A,ATCO-A.ST,Atlas Copco AB - Class A Shares,Eurostoxx,2023,2023-12-31,Industrials,Specialty Industrial Machinery,Sweden,0.937,764.6287260832188,4627.870208,28.684478335910374,0.3066156369600875,0.1534890849773379,0.0426233005486808,5.76,165.22259521484375,28.04,172.664,91.45,182.684,32.591,2.3,1.084497694,16.239633044525785,39.93055555555555,19.50207468879668
ATCO A,ATCO-A.ST,Atlas Copco AB - Class A Shares,Eurostoxx,2024,2024-12-31,Industrials,Specialty Industrial Machinery,Sweden,0.937,790.494816372,4695.719936,27.55215858671747,0.2619349164467898,0.1428133002138699,0.0439066762756186,6.11,168.34368896484375,29.782,176.771,113.7,208.538,34.708,2.8,0.941862917,16.847786118763825,45.82651391162029,6.076388888888906
ATE,ATE.PA,Alten,Eurostoxx,2021,2021-12-31,Technology,Information Technology Services,France,1.157,5.0786075137023925,33.9276,24.37940715578558,0.1462171465717198,0.0790395100574893,0.0359563127308642,6.14,149.68955993652344,0.207837,2.92518,1.421427,2.629533,0.182608,1.0,0.010444288,7.105101224540028,16.286644951140065,
