Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded
AES,AES,AES,USA,Utilities,Utilities - Diversified,United States,1.001,13965179381.005371,674342976.0,2021,2021-12-31,-409000000.0,11141000000.0,2798000000.0,32963000000.0,18699000000.0,-0.61,20.709312438964844,-0.1461758398856326,-0.012407851227133452,1.3389731338097453,-33.94969252289319,0.604,1409099800
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,56228641822.44873,555528000.0,2024,2024-12-31,5443000000.0,19128000000.0,26098000000.0,117566000000.0,7498000000.0,9.68,101.2165756225586,0.20856004291516592,0.04629739890784751,0.13334841029374636,10.456257812247788,2.0,553780900
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,46616131403.35547,584380032.0,2023,2023-12-31,4659000000.0,18841000000.0,21985000000.0,126724000000.0,7364000000.0,7.81,79.77023315429688,0.2119172162838299,0.036764937975442696,0.1579710666310232,10.213858278399089,1.68,603487500
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,41656907030.7876,621788992.0,2022,2022-12-31,4418000000.0,19151000000.0,20140000000.0,131738000000.0,7442000000.0,6.96,66.99524688720703,0.21936444885799405,0.033536261367259255,0.17864984537857792,9.625753863104459,1.6,700804100
AFL,AFL,AFL,USA,Financial Services,Insurance - Life,United States,0.658,35235925128.05176,661528000.0,2021,2021-12-31,4231000000.0,21546000000.0,33253000000.0,157542000000.0,7956000000.0,6.42,53.26445007324219,0.12723664030313053,0.02685633037539196,0.22579228361641993,8.296643313589126,1.32,813804500
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,44459200004.13574,623769024.0,2024,2024-12-31,-1404000000.0,27270000000.0,42521000000.0,161322000000.0,8922000000.0,2.352516,71.27510070800781,-0.0330189788575057,-0.00870309071298397,0.20067837476090541,30.29739253973525,1.56,1036576900
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,46325545274.04785,702040000.0,2023,2023-12-31,3643000000.0,27959000000.0,45351000000.0,539306000000.0,10606000000.0,5.02,65.98704528808594,0.08032898943793963,0.006754977693554308,0.22894495763100306,13.144829738662539,1.4,985047000
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,43732991752.29297,742979968.0,2022,2022-12-31,10227000000.0,29975000000.0,40970000000.0,522228000000.0,27179000000.0,13.1,58.861602783203125,0.24962167439589944,0.019583400353868425,0.6214758906489624,4.4932521208552005,1.28,1237465100
AIG,AIG,AIG,USA,Financial Services,Insurance - Diversified,United States,0.626,43170943706.95947,830297984.0,2021,2021-12-31,10367000000.0,51985000000.0,65956000000.0,596112000000.0,30163000000.0,12.1,51.9945182800293,0.15718054460549458,0.017391027189521433,0.6986875293888353,4.297067626448702,1.28,1102674000
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,10770044096.887207,51287400.0,2024,2024-12-31,760200000.0,11877500000.0,5106700000.0,35020600000.0,2083100000.0,14.55,209.99395751953125,0.148863258072728,0.02170722374830814,0.19341610686645788,14.432574399967782,2.96,88331800
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,8661073017.727661,52590600.0,2023,2023-12-31,642500000.0,11131600000.0,4809500000.0,33635200000.0,2080400000.0,12.02,164.68861389160156,0.13358977024638735,0.01910201217771858,0.24020118474255958,13.70121579797018,2.8199999999999994,98894500
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,6389473176.715088,52831400.0,2022,2022-12-31,276600000.0,10193000000.0,4228700000.0,33117300000.0,2129900000.0,5.09,120.94082641601562,0.06541017333932414,0.008352130155538042,0.33334516650948826,23.7604767025571,2.74,123712100
