Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded
ADEN,ADEN.SW,Adecco Group AG,Eurostoxx,Industrials,Staffing & Employment Services,Switzerland,1.087,3581204443.5234375,168427008.0,2024,2024-12-31,303000000.0,23138000000.0,3576000000.0,12099000000.0,3477000000.0,1.81,21.262649536132812,0.08473154362416108,0.02504339201586908,0.970902403041555,11.747320185708736,2.5,181927931
ADEN,ADEN.SW,Adecco Group AG,Eurostoxx,Industrials,Staffing & Employment Services,Switzerland,1.087,6021930521.478516,168427008.0,2023,2023-12-31,325000000.0,23957000000.0,3595000000.0,12430000000.0,3671000000.0,1.94,35.75394821166992,0.09040333796940195,0.026146419951729685,0.6096051734417369,18.429870212200992,2.5,149854522
ADEN,ADEN.SW,Adecco Group AG,Eurostoxx,Industrials,Staffing & Employment Services,Switzerland,1.087,4364201374.145508,167002000.0,2022,2022-12-31,342000000.0,23640000000.0,3881000000.0,13256000000.0,3700000000.0,2.05,26.13262939453125,0.08812161813965473,0.02579963789981895,0.8478068912950756,12.747624094893293,2.5,157580496
ADEN,ADEN.SW,Adecco Group AG,Eurostoxx,Industrials,Staffing & Employment Services,Switzerland,1.087,5882693550.018311,163092000.0,2021,2021-12-31,586000000.0,20949000000.0,3790000000.0,11865000000.0,3480000000.0,3.62,36.069786071777344,0.1546174142480211,0.049388959123472395,0.5915657462709694,9.964029301595952,2.5,159998880
ADM,ADM.L,Admiral Group,Eurostoxx,Financial Services,Insurance - Property & Casualty,United Kingdom,0.283,783162834986.3281,296408000.0,2024,2024-12-31,663300000.0,4866600000.0,1370100000.0,7944200000.0,1393600000.0,2.166,2642.178466796875,0.4841252463323845,0.08349487676543893,0.0017794511406102774,1219.8423207741805,123.0,169348972
ADM,ADM.L,Admiral Group,Eurostoxx,Financial Services,Insurance - Property & Casualty,United Kingdom,0.283,820590627089.2969,306419008.0,2023,2023-12-31,338000000.0,3553100000.0,991800000.0,7096200000.0,1211000000.0,1.112,2678.001708984375,0.34079451502319014,0.04763112651841831,0.0014757663078550111,2408.274918151416,103.0,201308434
ADM,ADM.L,Admiral Group,Eurostoxx,Financial Services,Insurance - Property & Casualty,United Kingdom,0.283,654018324745.5,302838016.0,2022,2022-12-31,286500000.0,3049000000.0,885800000.0,6208800000.0,1027600000.0,1.243,2159.630859375,0.3234364416346805,0.04614418245071512,0.001571209798135049,1737.4343196902653,222.99998,219134177
ADM,ADM.L,Admiral Group,Eurostoxx,Financial Services,Insurance - Property & Casualty,United Kingdom,0.283,943308008152.4531,299555008.0,2021,2021-12-31,997900000.0,1547400000.0,1280600000.0,6336700000.0,776200000.0,3.355,3149.031005859375,0.7792441043260971,0.15747944513705872,0.0008228489457226723,938.6083474990686,247.0,147486519
ADP,ADP.PA,Aeroports de Paris SA,Eurostoxx,Industrials,Airports & Air Services,France,0.958,10786602154.96521,99102200.0,2024,2024-12-31,342000000.0,6158000000.0,4415000000.0,20179000000.0,10142000000.0,3.45,108.84321594238281,0.07746319365798414,0.01694831260221022,0.9402404811353414,31.54875824416893,3.82,22145510
ADP,ADP.PA,Aeroports de Paris SA,Eurostoxx,Industrials,Airports & Air Services,France,0.958,10994873426.671875,99151104.0,2023,2023-12-31,631000000.0,5495000000.0,4363000000.0,19660000000.0,9822000000.0,6.39,110.89007568359375,0.14462525785010313,0.03209562563580875,0.8933254271189094,17.353689465351135,3.13,20805488
